PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=8, eps=1e-08, maxIter=100, n=50, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.25858556016819595 0.2585855601681967 4 4 2
2 0.09504585214808911 0.0950458521480891 6 6 4
3 0.042782176342399954 0.042782176342399884 8 8 6
4 0.02209624744593018 0.022096247445930237 10 10 8
5 0.012591291436589118 0.012591291436589113 12 12 10
6 0.00770311995209063 0.007703119952090755 14 14 12
7 0.004962162181481466 0.004962162181479155 16 16 14
8 0.003324311396188774 0.0033243113961769623 18 18 16
9 0.0023010717631705077 0.0023010717631817943 20 20 16
10 0.0016386599416251192 0.0016386599416252053 22 22 18
11 0.001194729352576759 0.0011947293525559628 24 24 20
12 0.0008889201514375603 0.0008889201514879148 26 26 22
13 0.0006734458842220804 0.0006734458849693052 28 28 22
14 0.00051861960860904 0.0005186196134907934 30 30 24
15 0.00040530252383152353 0.0004053026174216497 32 32 26
16 0.000320880659451631 0.00032088058559440755 34 34 28
17 0.00025696246878727913 0.0002569633225852393 36 36 28
18 0.000207908751182325 0.00020790763350280857 38 38 30
19 0.00016982967210130964 0.0001698300734935918 40 40 32
20 0.00013995022418761976 0.00013994968665551142 40 41 33
21 0.00011625801756248605 0.00011625798891062107 41 42 34
22 9.728810627808556e-05 9.728822222018875e-05 42 44 36
23 8.196012286782953e-05 8.196034854980476e-05 44 45 38
24 6.946611420195748e-05 6.946586197651873e-05 46 47 39
25 5.920128835849929e-05 5.920165000439569e-05 47 48 40
26 5.070648221154844e-05 5.070602289386638e-05 48 50 42
27 4.363050976562569e-05 4.363068017759251e-05 50 52 44
28 3.770182510828027e-05 3.770178570404705e-05 52 53 44
29 3.2706611100474824e-05 3.270677336256146e-05 52 56 46
30 2.847466301333736e-05 2.847477476333296e-05 54 56 48
31 2.487088547885107e-05 2.4871232337545737e-05 54 56 48
32 2.178774329654104e-05 2.178732414048594e-05 58 59 48
33 1.913847748902927e-05 1.913866146211152e-05 58 60 49
34 1.685267840745115e-05 1.6852682401651548e-05 58 62 51
35 1.487298872510705e-05 1.4873105518676587e-05 59 63 51
36 1.3152490517090142e-05 1.3152606956013687e-05 61 63 51
37 1.1652701018063793e-05 1.1652819715712893e-05 62 64 52
38 1.0341635006498923e-05 1.0341536009224688e-05 62 65 53
39 9.192618356303184e-06 9.19279057175243e-06 64 66 52
40 8.183303247223405e-06 8.183198687092711e-06 65 67 54
41 7.2947943005214005e-06 7.2948775478479835e-06 66 68 53
42 6.511049227506511e-06 6.511036305774714e-06 68 70 54
43 5.818510347322967e-06 5.818564144182697e-06 68 72 54
44 5.2056732828527185e-06 5.205737889195772e-06 72 74 55
45 4.662643121113838e-06 4.662676085348101e-06 74 76 56
46 4.180854887379995e-06 4.180657483627737e-06 74 78 56
47 3.7528632576614287e-06 3.7530240055276e-06 76 80 57
48 3.3721756870537693e-06 3.3721235241125792e-06 78 81 56
49 3.03314714677926e-06 3.0331954693957393e-06 79 82 57
50 2.7308750047345825e-06 2.730718558806256e-06 79 84 58
51 2.4611055438321564e-06 2.4611682570838336e-06 82 86 58
52 2.220119009839642e-06 2.2201206570449254e-06 85 87 58
53 2.004639311432592e-06 2.004700831639165e-06 86 89 59
54 1.8117819331668447e-06 1.8116036484825073e-06 87 91 59
55 1.6390062490329155e-06 1.6391602185344058e-06 89 92 59
56 1.484071377590905e-06 1.4842892964034927e-06 90 95 59
57 1.3449989393874675e-06 1.345023849253899e-06 93 97 59
58 1.2200400518207907e-06 1.2200577982323244e-06 95 98 60
59 1.1076468677084216e-06 1.107782380608295e-06 95 99 61
