PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.5, I=0.0, L=1.0, Ljump=2.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='no_precond')

###### no preconditioning (PIVMGS) ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.9597689027390675
# TT-PIVMGS:    ortho max err 1.7277845820728999e-15 , max. rank: 4
1 0.2807911204704429 0.28079112047044336 4 4 2
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.9048246310965954
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.5975519719790537
# TT-PIVMGS:    ortho max err 5.384581669432009e-15 , max. rank: 6
2 0.11056619009145632 0.11056619009145582 6 6 4
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.8736315400175161
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.6521848986066863
# TT-PIVMGS:    ortho 0 pivot 0 dot 4.0229138406372e-05
# TT-PIVMGS:    ortho max err 1.8041124150158794e-15 , max. rank: 8
3 0.05253298527965324 0.0525329852796519 8 8 6
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.855437980166826
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.6738092860326144
# TT-PIVMGS:    ortho 0 pivot 1 dot 5.963017972293464e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 8.541868573862937e-06
# TT-PIVMGS:    ortho max err 9.256484467812243e-15 , max. rank: 10
4 0.028238753342747093 0.028238753342746087 10 10 8
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.8445367025700425
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.6857254566761637
# TT-PIVMGS:    ortho 0 pivot 2 dot 7.50928340917667e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 1.3142257718467068e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -5.053610198787854e-06
# TT-PIVMGS:    ortho max err 3.760880495917718e-15 , max. rank: 12
5 0.016557976035918843 0.016557976035917122 12 12 10
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.837784509876297
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.6935460944637302
# TT-PIVMGS:    ortho 0 pivot 3 dot 8.769975744971764e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 1.4143599470045967e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -8.750201435574027e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot 3.879920876791957e-06
# TT-PIVMGS:    ortho max err 5.079270337660091e-15 , max. rank: 14
6 0.010346964899423463 0.010346964899421334 14 14 12
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.8335437302172797
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.6992065734930698
# TT-PIVMGS:    ortho 0 pivot 4 dot 9.697733024327786e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 1.1512637421516592e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -1.1128088212906603e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 5.430542014974414e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -2.2821592316784505e-06
# TT-PIVMGS:    ortho max err 5.412337245047638e-15 , max. rank: 16
7 0.0067807000272373285 0.006780700026534347 16 16 14
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.8309297257672957
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.7034066592837065
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.00010164920405711375
# TT-PIVMGS:    ortho 0 pivot 3 dot -1.1525757327085669e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 8.054444456770393e-06
# TT-PIVMGS:    ortho 0 pivot 2 dot 3.768285723724542e-06
# TT-PIVMGS:    ortho 0 pivot 1 dot -3.2701577088922653e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot 1.9904746127816925e-07
# TT-PIVMGS:    ortho max err 5.9119376061289586e-15 , max. rank: 18
8 0.004605036300460168 0.004605036300430113 18 18 16
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.8293395813972245
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.7058496683679162
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.0001002311017536707
# TT-PIVMGS:    ortho 0 pivot 4 dot -1.0783646225543016e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 7.137205448089906e-06
# TT-PIVMGS:    ortho 0 pivot 1 dot -2.0898768937909103e-06
# TT-PIVMGS:    ortho 0 pivot 2 dot -1.4880882576086968e-06
# TT-PIVMGS:    ortho 0 pivot 3 dot 6.015665124543823e-07
# TT-PIVMGS:    ortho 0 pivot 0 dot 2.766872773389442e-07
# TT-PIVMGS:    ortho max err 6.161737786669619e-15 , max. rank: 20
9 0.003212749688936669 0.003212749688919046 20 20 16
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.8278912857260954
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.7059413256841058
# TT-PIVMGS:    ortho 0 pivot 7 dot 9.286204519387553e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot -1.0210465528193331e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 9.113439500465365e-06
# TT-PIVMGS:    ortho 0 pivot 2 dot -5.701197883949995e-06
# TT-PIVMGS:    ortho 0 pivot 1 dot 3.277742463093057e-06
# TT-PIVMGS:    ortho 0 pivot 3 dot 2.301140392627337e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -1.7072641277975304e-06
# TT-PIVMGS:    ortho 0 pivot 4 dot -1.0302279256947655e-06
# TT-PIVMGS:    ortho max err 1.6944778913341452e-14 , max. rank: 22
10 0.0022915353131546254 0.0022915353134337776 22 22 18
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.8265755324168534
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.7049747174243077
# TT-PIVMGS:    ortho 0 pivot 8 dot 8.143744618987689e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot 1.1615210388810082e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot -8.626942821911114e-06
# TT-PIVMGS:    ortho 0 pivot 3 dot -7.963143797978453e-06
# TT-PIVMGS:    ortho 0 pivot 2 dot 7.461380180999368e-06
