PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=10, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.21503711315653123 0.21503711315653018 4 4 2
2 0.06553056893166731 0.06553056893166706 6 6 4
3 0.024461454324315682 0.024461454324315554 8 8 6
4 0.01051592400275562 0.010515924002755802 10 10 8
5 0.005023564255976732 0.00502356425597684 12 12 10
6 0.0026026790542643796 0.002602679054233183 14 14 12
7 0.0014363696888482977 0.0014363696888397208 16 16 14
8 0.0008329457555628134 0.0008329457555210925 18 18 14
9 0.0005024736016877554 0.0005024736017264896 20 20 16
10 0.00031320467865402776 0.0003132046786614708 22 22 18
11 0.00020086514031754818 0.00020086514073749687 24 24 20
12 0.0001320882056396981 0.00013208820627104464 26 26 20
13 8.872934399507598e-05 8.872935811949044e-05 28 28 22
14 6.065602607471621e-05 6.0656041841734846e-05 30 30 24
15 4.2051446696838184e-05 4.205209386716506e-05 32 32 24
16 2.948019458618827e-05 2.947917421482185e-05 34 34 26
17 2.085536615063788e-05 2.0855440952085205e-05 36 36 28
18 1.4871066185855916e-05 1.4871069945667853e-05 38 38 28
19 1.0684211698021736e-05 1.0684436982806254e-05 40 40 30
20 7.73467537335559e-06 7.734341026768449e-06 41 42 32
21 5.642709749727084e-06 5.64310132435602e-06 41 44 33
22 4.148257627792078e-06 4.147663568993743e-06 42 46 34
23 3.0725006682238942e-06 3.0726800411080972e-06 44 47 36
24 2.292037904999883e-06 2.2921009052187406e-06 44 48 38
25 1.7214117026862687e-06 1.7218419198404942e-06 48 51 38
26 1.3012619330072587e-06 1.300207912387636e-06 48 55 40
27 9.900289899088738e-07 9.903569888143744e-07 50 57 40
28 7.581880141763611e-07 7.582017518245656e-07 51 64 40
29 5.844854375439291e-07 5.846615865660678e-07 55 73 39
30 4.5352518938495173e-07 4.5306364237799315e-07 61 80 38
31 3.5414413709269684e-07 3.5445539512784177e-07 68 94 40
32 2.7823836231138114e-07 2.778398397591513e-07 73 111 40
33 2.1988719498244358e-07 2.1998886543421758e-07 88 129 38
34 1.7473530531233917e-07 1.7465227259196965e-07 92 135 38
35 1.395660816852317e-07 1.3946538191869735e-07 121 144 38
36 1.1200083218531887e-07 1.1133427821611949e-07 106 172 37
37 9.026722307062146e-08 8.969006769299184e-08 127 184 34
38 7.303460977859036e-08 7.222317822142719e-08 137 197 31
39 5.92975571636876e-08 5.891667989405823e-08 142 217 32
40 4.8290979843906696e-08 4.7948643073367734e-08 155 234 31
41 3.94286202382111e-08 4.015196199826007e-08 166 247 31
42 3.226005102942246e-08 3.2837903823845134e-08 176 256 31
43 2.6442101092642775e-08 2.7154943218724274e-08 180 260 30
44 2.1699251015519373e-08 2.2929231495225228e-08 241 276 30
45 1.7824473298611496e-08 1.9166420093783295e-08 216 304 30
46 1.465196321590665e-08 1.647820950222567e-08 205 325 30
47 1.2050221866760468e-08 1.4333462361749566e-08 236 336 30
48 9.913077895367138e-09 1.2452615898890192e-08 249 333 28
# Checked resulting residual norm: 1.24734e-08

INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[1;34m[likwid-pin] Main PID -> hwthread 60 - OK[0m
