PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.5, I=0.0, L=1.0, Ljump=2.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='right_precond')

###### right preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
0 1 1 2 2 2 0
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.9958063210286281
# TT-PIVMGS:    ortho max err 4.954370247389761e-15 , max. rank: 6
1 0.09148645254587734 0.0914864525458771 4 2 6 2
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.9601343799028546
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.4195243786710741
# TT-PIVMGS:    ortho max err 8.007483565108942e-15 , max. rank: 12
2 0.023716473021020815 0.0237164730210208 10 6 12 6
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.9000846767827791
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.6386456990012105
# TT-PIVMGS:    ortho 0 pivot 0 dot 6.663841421970795e-06
# TT-PIVMGS:    ortho max err 1.339206523454095e-15 , max. rank: 20
3 0.00919174057842952 0.009191740578429088 18 12 20 12
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.865679342491933
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.6875326099871587
# TT-PIVMGS:    ortho 0 pivot 0 dot 2.0726684682475204e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 8.913306930119491e-06
# TT-PIVMGS:    ortho max err 6.6058269965196814e-15 , max. rank: 28
4 0.004387530272113667 0.0043875302746825265 26 20 28 19
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.8517534387605488
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.6956537674690815
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.00011693298365334642
# TT-PIVMGS:    ortho 0 pivot 1 dot 5.441680526891476e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -4.180991188455427e-06
# TT-PIVMGS:    ortho max err 1.7041923427996153e-14 , max. rank: 36
5 0.002365193759971365 0.002365193788872394 34 28 36 24
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.8393584319881578
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.6986448365689961
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.00038151895097304767
# TT-PIVMGS:    ortho 0 pivot 2 dot -1.4838635242416486e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 5.961140261044606e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -7.992191779384976e-07
# TT-PIVMGS:    ortho max err 7.277164981722706e-15 , max. rank: 42
6 0.0014042565889921144 0.0014042565576184677 40 34 42 30
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.832982024785088
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.7046705193435343
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.000608103655377102
