PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='left_precond')

###### left preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 3 dot 8.192661099151212e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -7.905263372050709e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -4.991370257016216e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 4.5939972036515564e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 2.0817963590235395e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -8.429420220582625e-06
# TT-PIVMGS:    ortho max err 2.333550019884001e-14 , max. rank: 77
11 0.0010516255365195053 0.0006163537528176092 75 75 77 56
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.8339297096164007
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.7111162407593381
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.0005148059710653671
# TT-PIVMGS:    ortho 0 pivot 8 dot -0.00028259033542667785
# TT-PIVMGS:    ortho 0 pivot 5 dot -8.169418116537285e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 7.365406828340262e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot 5.3256711551387045e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 4.28708360200869e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -2.6246943335088598e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 1.4828906713646806e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 4.430874878457586e-06
# TT-PIVMGS:    ortho 0 pivot 3 dot -1.9727164712662545e-06
