PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=10, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.20434928126010068 0.2043492812600999 4 4 2
2 0.059767091120994216 0.05976709112099399 6 6 4
3 0.021576873221045706 0.02157687322104538 8 8 6
4 0.009022448022579304 0.009022448022579305 10 10 8
5 0.0042080911787112435 0.0042080911787113345 12 12 10
6 0.002132142464359515 0.002132142464364154 14 14 12
7 0.0011504698535026929 0.001150469853511078 16 16 14
8 0.0006513043153752534 0.0006513043155295789 18 18 14
9 0.00038289684402334246 0.00038289684540291843 20 20 16
10 0.0002322896012328806 0.0002322895994673714 22 22 18
11 0.00014484017274390311 0.0001448401752035585 24 24 20
12 9.25117125549538e-05 9.251172527155353e-05 26 26 20
13 6.033903090090224e-05 6.0339329263170805e-05 28 28 22
14 4.0089932683341375e-05 4.0089492175888364e-05 30 30 24
15 2.708612494459766e-05 2.7086637560267636e-05 32 32 24
16 1.8585675334990572e-05 1.8584873118608362e-05 34 34 26
17 1.2939328870333282e-05 1.2939420528009084e-05 36 36 28
18 9.132921040505637e-06 9.132933082072463e-06 38 38 28
19 6.531212802834406e-06 6.5317370980487274e-06 40 40 30
20 4.729852437379339e-06 4.7289871160063886e-06 42 42 32
21 3.4673969604991472e-06 3.467550704042155e-06 44 44 32
22 2.5721183168783476e-06 2.571953738790133e-06 46 46 34
23 1.9296538793124645e-06 1.9298893975287064e-06 48 48 36
24 1.463152760003876e-06 1.4627860183795314e-06 50 50 36
25 1.120582334716481e-06 1.1208578288534175e-06 52 52 38
26 8.663055808944471e-07 8.657656513032838e-07 54 54 38
27 6.756313134654223e-07 6.758859237724429e-07 55 56 39
28 5.312724568910035e-07 5.313022592722554e-07 58 59 37
29 4.209638928698737e-07 4.211791268690334e-07 59 61 38
30 3.359080541239571e-07 3.353300339703414e-07 61 64 38
31 2.6974505441829096e-07 2.699141543971787e-07 63 65 38
32 2.1785562428438083e-07 2.1760664059602512e-07 64 67 37
33 1.7686549984383855e-07 1.7669738308320955e-07 67 70 37
34 1.4428292861867493e-07 1.4353380686194605e-07 69 72 35
35 1.1823624638803554e-07 1.1760124172083488e-07 70 74 35
36 9.729675112047787e-08 9.615240469438307e-08 72 76 33
37 8.036710994750488e-08 7.944059274468481e-08 74 79 32
38 6.660617955220491e-08 6.597058196251546e-08 77 81 32
39 5.5368405885584166e-08 5.456672665755202e-08 79 84 31
40 4.6152878813785876e-08 4.571901943924325e-08 81 86 30
41 3.8565545228079066e-08 3.890099214744157e-08 84 88 31
42 3.229418009050265e-08 3.275558154802811e-08 87 90 30
43 2.709111897469237e-08 2.837682648608842e-08 88 92 31
44 2.2759681863639178e-08 2.3663500192835698e-08 91 95 31
45 1.9143024027035484e-08 2.049073257188623e-08 91 97 33
46 1.6115294950820672e-08 1.7478821162708276e-08 96 99 32
47 1.3574863353932977e-08 1.4917822897491912e-08 97 102 29
48 1.1439279633671157e-08 1.3323704679160577e-08 100 104 28
49 9.641368171679207e-09 1.2180513408722418e-08 101 105 27
# Checked resulting residual norm: 1.2211e-08

INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[1;34m[likwid-pin] Main PID -> hwthread 61 - OK[0m
