PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=8, eps=1e-08, maxIter=100, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.24339373047752635 0.24339373047752597 4 4 2
2 0.08425730948104528 0.0842573094810444 6 6 4
3 0.03575519476719169 0.03575519476719153 8 8 6
4 0.01741899265102275 0.017418992651022685 10 10 8
5 0.009355842362414529 0.009355842362414374 12 12 10
6 0.005380646707387069 0.00538064670738702 14 14 12
7 0.0032431413459571338 0.0032431413459466526 16 16 14
8 0.0020215907745463543 0.002021590774504673 18 18 16
9 0.0012963412811938435 0.0012963412811051915 20 20 16
10 0.0008536178222480478 0.0008536178224315308 22 22 18
11 0.0005756592477968669 0.0005756592505631342 24 24 20
12 0.0003968403563167669 0.0003968403519979433 26 26 21
13 0.0002791861123579889 0.0002791861214548472 28 28 22
14 0.00019999204056966036 0.00019999203735126853 30 30 24
15 0.00014546185214072985 0.00014546201959618092 32 32 26
16 0.00010718322761215664 0.00010718294425561577 34 34 26
17 7.993991404983003e-05 7.994027433579902e-05 36 36 28
18 6.033354696442912e-05 6.0333146486705334e-05 38 38 30
19 4.6041069732292e-05 4.6041129223213065e-05 40 40 30
20 3.548771686291313e-05 3.548776035642921e-05 42 42 32
21 2.7630350379773455e-05 2.7630761147148457e-05 44 44 34
22 2.1735693986938982e-05 2.1735090246138658e-05 44 46 36
23 1.726496279245244e-05 1.7265351600764018e-05 46 48 36
24 1.3844161849834206e-05 1.3843556845809034e-05 48 48 38
25 1.1200707840996831e-05 1.1200743499648468e-05 49 50 40
26 9.136545936395251e-06 9.136710518397234e-06 52 52 40
27 7.504211397385442e-06 7.50446803709026e-06 52 54 42
28 6.195394953364563e-06 6.1949780905919624e-06 54 56 44
29 5.133534897325543e-06 5.133660004485124e-06 56 56 43
30 4.266061031640804e-06 4.265880309715555e-06 58 58 45
31 3.5552050810804414e-06 3.5553000190086578e-06 58 60 44
32 2.9714588069886028e-06 2.9715628946867116e-06 60 61 46
33 2.4904947717780653e-06 2.4906258192227363e-06 61 63 44
34 2.0922335275029773e-06 2.091799009279349e-06 62 64 46
35 1.7608427291519137e-06 1.761053308565548e-06 64 66 46
36 1.4840807744349961e-06 1.4840875907334668e-06 66 68 46
37 1.2524822318438232e-06 1.2526057284668307e-06 68 68 46
38 1.0584991175892073e-06 1.058501380855549e-06 70 70 46
39 8.958538470870085e-07 8.9595671709485e-07 72 72 47
40 7.593542608417235e-07 7.591870533384654e-07 72 74 46
41 6.447784759150311e-07 6.449403868720912e-07 74 74 46
42 5.486419374100776e-07 5.487475305970501e-07 74 76 45
43 4.6801073860917063e-07 4.681204767972054e-07 76 76 46
44 4.0034382195931933e-07 4.0022157128108646e-07 78 78 45
45 3.4343331390277523e-07 3.435015207344668e-07 78 80 46
46 2.954411085826779e-07 2.9522811126715653e-07 80 82 45
47 2.548722915871106e-07 2.5487683294443037e-07 82 84 45
48 2.2048848880798714e-07 2.2035025881886205e-07 83 86 44
49 1.912319007824699e-07 1.9104222727879497e-07 86 86 43
50 1.662084834829582e-07 1.65779174206949e-07 86 88 42
51 1.446867215181144e-07 1.4415537302477554e-07 87 89 41
52 1.2608297219489718e-07 1.253734010422432e-07 89 91 41
53 1.0993129931167371e-07 1.0943133431759641e-07 90 92 39
54 9.585720962859424e-08 9.552029965595818e-08 92 95 38
55 8.356399700210199e-08 8.339140242284111e-08 94 95 36
56 7.281908899391195e-08 7.289242344431627e-08 95 97 36
57 6.343440196968143e-08 6.374086355215684e-08 96 99 36
58 5.5247380442539563e-08 5.5789731418375866e-08 99 100 36
59 4.8113739093748015e-08 4.893777091902322e-08 100 101 36
60 4.1905562481461724e-08 4.2872358065324455e-08 102 103 35
61 3.6505935080230774e-08 3.785119470789252e-08 104 105 35
62 3.180647136159383e-08 3.337744963365149e-08 105 107 35
63 2.7711051464920416e-08 2.9886798476433166e-08 107 108 35
64 2.413683322352051e-08 2.6637937008452525e-08 108 110 34
65 2.1011708527834917e-08 2.4154059746385827e-08 111 112 34
66 1.8274576206262456e-08 2.2034076204479956e-08 112 114 32
67 1.587572877747003e-08 2.049622747552713e-08 115 116 32
68 1.3774566326140514e-08 1.902538982328826e-08 116 118 32
69 1.1936534898247532e-08 1.7783698881895813e-08 117 119 29
70 1.0331080825439444e-08 1.7133890969641355e-08 119 122 29
71 8.930598386394082e-09 1.5989778390745293e-08 122 123 29
# Checked resulting residual norm: 1.60247e-08

INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[1;34m[likwid-pin] Main PID -> hwthread 60 - OK[0m
