PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=8, eps=1e-08, maxIter=100, n=100, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
70 7.838623349396014e-07 7.839323915575631e-07 126 128 68
71 7.280860415749603e-07 7.280639529063371e-07 128 130 67
72 6.767125819692427e-07 6.768219568672286e-07 130 132 68
73 6.293569256854545e-07 6.292434952816936e-07 132 133 67
74 5.856705709563743e-07 5.855877399271877e-07 134 135 69
75 5.453373146798847e-07 5.451726655210564e-07 135 137 69
76 5.080697950503617e-07 5.077504888916688e-07 137 140 68
77 4.7360706638967715e-07 4.7322945904446834e-07 140 142 68
78 4.417128313269316e-07 4.411715668921489e-07 142 143 66
79 4.121735003757661e-07 4.117809572376235e-07 145 145 68
80 3.847958203939775e-07 3.843075086638183e-07 145 148 67
81 3.5940468597916575e-07 3.5883178609208456e-07 148 149 66
82 3.3584137512907864e-07 3.3504400435635717e-07 150 151 64
83 3.139619138645026e-07 3.1316671149190954e-07 153 153 63
84 2.9363548045321386e-07 2.9300832669962647e-07 154 155 61
85 2.747428344032372e-07 2.740258981268275e-07 155 157 60
86 2.571748981214133e-07 2.5635841561007545e-07 158 159 59
87 2.408316077765145e-07 2.401003447358206e-07 160 160 59
88 2.2562108333903295e-07 2.2503056384419822e-07 161 162 57
89 2.1145884419542776e-07 2.1093909516431085e-07 163 163 58
90 1.982670721806835e-07 1.9759850597340203e-07 164 164 54
91 1.8597409164736627e-07 1.8545801102460324e-07 165 168 55
92 1.7451395791041041e-07 1.74162050528331e-07 169 168 54
93 1.6382605286408748e-07 1.6375787695744936e-07 170 170 56
94 1.53854671087477e-07 1.5391165792104542e-07 172 172 56
95 1.4454867976219853e-07 1.4452450916622426e-07 172 173 56
96 1.358612009976839e-07 1.35968164254799e-07 175 175 55
97 1.2774915947868549e-07 1.2818181134770377e-07 176 176 55
98 1.2017276341730223e-07 1.2058833398943706e-07 178 176 55
99 1.130950892802615e-07 1.1360398769567559e-07 178 178 55
100 1.0648175919377436e-07 1.0720881388819163e-07 179 178 55
# Checked resulting residual norm: 1.07211e-07

INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[1;34m[likwid-pin] Main PID -> hwthread 58 - OK[0m
