PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.5, I=0.0, L=1.0, Ljump=2.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='left_precond')

###### left preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
0 1 1 2 2 2 0
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.9923876848324126
# TT-PIVMGS:    ortho max err 1.2208983823924768e-14 , max. rank: 6
1 0.12315308763066143 0.09239690236183631 4 4 6 2
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.9571303823438064
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.5271741802965019
# TT-PIVMGS:    ortho max err 1.268082860939046e-15 , max. rank: 12
2 0.03147655434458837 0.020933028333230404 10 10 12 6
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.908229812675867
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.642360836593846
# TT-PIVMGS:    ortho 0 pivot 0 dot -3.567254123193475e-05
# TT-PIVMGS:    ortho max err 2.8935187579293142e-15 , max. rank: 20
3 0.011589261507664443 0.007215289764245478 18 18 20 12
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.8748506132875101
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.6786687802794374
# TT-PIVMGS:    ortho 0 pivot 1 dot -0.00024440668240598845
# TT-PIVMGS:    ortho 0 pivot 0 dot 9.205696359570331e-05
# TT-PIVMGS:    ortho max err 1.2448375663609568e-14 , max. rank: 28
4 0.005272506183021363 0.0031263280794037503 26 26 28 18
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.8544643181438363
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.6924385369590449
# TT-PIVMGS:    ortho 0 pivot 2 dot -0.00031708767865729764
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.00013879490009984646
# TT-PIVMGS:    ortho 0 pivot 0 dot 7.25953394342671e-08
# TT-PIVMGS:    ortho max err 8.923417560424696e-15 , max. rank: 36
5 0.0027644261565091164 0.0015798737384244313 34 34 36 24
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.8470753959150314
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.7040638230439978
# TT-PIVMGS:    ortho 0 pivot 3 dot -0.00019536468350356273
# TT-PIVMGS:    ortho 0 pivot 2 dot 6.034749032068909e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 3.205504384031291e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -5.550722339195402e-07
# TT-PIVMGS:    ortho max err 9.83935155574045e-15 , max. rank: 42
6 0.0015707759584701396 0.000875778378365391 40 40 42 29
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.841638871641806
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.7008709708082403
# TT-PIVMGS:    ortho 0 pivot 3 dot -9.708963298585976e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 9.298947986962139e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 8.046295338975246e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -5.042185902361454e-06
# TT-PIVMGS:    ortho 0 pivot 1 dot 6.96231030394151e-07
# TT-PIVMGS:    ortho max err 2.6104118866498993e-14 , max. rank: 46
7 0.0009473651645463704 0.0005153261001128693 46 46 46 34
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.8347563634537216
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.7036686848354317
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.000433836838399166
# TT-PIVMGS:    ortho 0 pivot 4 dot -0.00021146419775100803
# TT-PIVMGS:    ortho 0 pivot 3 dot 6.566726434530101e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 1.996057167759791e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 1.0945504623108976e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -7.042569156678023e-06
# TT-PIVMGS:    ortho max err 1.5001888620247428e-14 , max. rank: 52
8 0.0006033427522075597 0.00032176837134104483 52 52 52 41
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.8339534768909391
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.7085969090815363
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.0007534320927542575
# TT-PIVMGS:    ortho 0 pivot 5 dot -0.00023112786115876693
# TT-PIVMGS:    ortho 0 pivot 3 dot 9.809281448885238e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -5.5318326937555534e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -9.547844789451441e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -6.530559843803078e-07
# TT-PIVMGS:    ortho max err 9.846281200705936e-08 , max. rank: 58
9 0.0003975998692568189 0.0002104791769662375 56 56 58 41
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.8360000922369033
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.706234925247302
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.0010191769459724394
# TT-PIVMGS:    ortho 0 pivot 5 dot -0.0002774631269875736
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.00022134425293727014
# TT-PIVMGS:    ortho 0 pivot 6 dot -0.00014881604050846764
# TT-PIVMGS:    ortho 0 pivot 3 dot -2.0849013469608976e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -1.9415911322048264e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 9.408193467909474e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -6.570706148978714e-07
# TT-PIVMGS:    ortho max err 8.791994909884693e-13 , max. rank: 62
10 0.000265852837567716 0.0001404423862523283 60 62 62 46
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.8356564752701268
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.7054843210639353
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.0012269526152282884
# TT-PIVMGS:    ortho 0 pivot 6 dot -0.00044160536982988663
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.0003564017303289511
# TT-PIVMGS:    ortho 0 pivot 4 dot -0.00010125060296096826
# TT-PIVMGS:    ortho 0 pivot 7 dot -9.8280026385629e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 4.900093176126146e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -2.7376611796697033e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -1.6186970882760103e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 4.304518224128653e-06
# TT-PIVMGS:    ortho max err 2.6976892941732444e-12 , max. rank: 70
11 0.00017918857466464662 9.46470325722848e-05 68 68 70 52
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.8361825825381766
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.7061925095721837
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.0013336204899893362
# TT-PIVMGS:    ortho 0 pivot 7 dot -0.0005325943827361838
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.0003486798943802081
# TT-PIVMGS:    ortho 0 pivot 5 dot -8.15281929810569e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -7.59936078329566e-06
# TT-PIVMGS:    ortho 0 pivot 3 dot 4.474472492826086e-06
# TT-PIVMGS:    ortho 0 pivot 2 dot 3.79985371726883e-06
# TT-PIVMGS:    ortho 0 pivot 4 dot 3.23378920012371e-06
# TT-PIVMGS:    ortho max err 1.2169808072193602e-06 , max. rank: 75
# TT-PIVMGS:    ortho 1 pivot 0 dot 1.2169808072193602e-06
# TT-PIVMGS:    ortho max err 3.8404778043843457e-07 , max. rank: 75
12 0.00012106612042245958 6.400781038626472e-05 72 72 75 56
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.8366566766243266
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.7068184431765783
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.0014202194960141173
# TT-PIVMGS:    ortho 0 pivot 8 dot -0.0006287430071652035
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.0003501493532466343
# TT-PIVMGS:    ortho 0 pivot 5 dot -0.00010562034128932304
# TT-PIVMGS:    ortho 0 pivot 9 dot 9.811768020635478e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -8.823782086752295e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 5.823168198254916e-05
