PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=8, eps=1e-08, maxIter=100, n=100, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.2407020771108991 0.24070207711089922 4 4 2
2 0.08285255785812733 0.08285255785812724 6 6 4
3 0.03519134226348158 0.035191342263481785 8 8 6
4 0.017308625642919098 0.0173086256429189 10 10 8
5 0.00949127798759371 0.009491277987593671 12 12 10
6 0.0056505794403487195 0.005650579440348664 14 14 12
7 0.003580978046203453 0.003580978046201591 16 16 14
8 0.0023820385665530865 0.0023820385665510578 18 18 16
9 0.0016483404599707046 0.0016483404600120023 20 20 16
10 0.0011795508578275563 0.0011795508581150206 22 22 18
11 0.000868099271730052 0.0008680992716279869 24 24 20
12 0.0006540306020825905 0.0006540306021241115 26 26 22
13 0.0005026250964048963 0.0005026250969090969 28 28 22
14 0.0003929304769192692 0.0003929304796867817 30 30 24
15 0.0003117910075690657 0.000311791064364319 32 32 26
16 0.0002506545532661226 0.0002506545128913171 34 34 28
17 0.00020381661453619033 0.00020381738707851276 36 36 28
18 0.00016740445792776793 0.00016740346648089365 38 38 30
19 0.00013874094066370965 0.0001387410633379719 40 40 32
20 0.0001159282691451825 0.000115928131627077 40 41 33
21 9.758962393463717e-05 9.758966062146976e-05 42 42 34
22 8.271457875275811e-05 8.271459547055833e-05 42 44 36
23 7.055177632857708e-05 7.055210096208686e-05 46 46 38
24 6.0531119278124785e-05 6.0530708200799624e-05 46 46 38
25 5.2215595490754384e-05 5.2216096927965846e-05 48 48 40
26 4.5267296299780026e-05 4.526683406072685e-05 48 50 42
27 3.942424536455512e-05 3.9424355862706945e-05 50 50 44
28 3.4482044550315354e-05 3.448207581752076e-05 52 52 44
29 3.0279384559298586e-05 3.0279527853510243e-05 52 53 46
30 2.6687736223133232e-05 2.6687846166442504e-05 54 54 48
31 2.3604069768670133e-05 2.3604371603848004e-05 54 56 48
32 2.0945053288354235e-05 2.0944691159944586e-05 56 58 48
33 1.8642750205366113e-05 1.864291968714052e-05 56 59 51
34 1.6641557844306947e-05 1.664152555891046e-05 58 60 50
35 1.4895668813775055e-05 1.489577962576921e-05 60 62 52
36 1.3367325120183592e-05 1.3367325229142489e-05 62 64 51
37 1.2025234292904404e-05 1.202533098472094e-05 62 64 52
38 1.0843267404180978e-05 1.084333822593753e-05 64 64 54
39 9.799456210665686e-06 9.799658484560585e-06 64 66 53
40 8.875295268945074e-06 8.87501212598732e-06 66 66 55
41 8.055137806775856e-06 8.055275729410324e-06 66 66 54
42 7.325629645834697e-06 7.3256458691483045e-06 68 68 56
