PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='left_precond')

###### left preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 8 dot 4.295628410681471e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 2.2144937841101636e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -1.1330033787947634e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 4.989843277217968e-06
# TT-PIVMGS:    ortho 0 pivot 1 dot -3.1952879429885707e-07
# TT-PIVMGS:    ortho 0 pivot 0 dot -8.329380249861174e-08
# TT-PIVMGS:    ortho max err 1.6465995233971853e-14 , max. rank: 74
11 0.00010361389972760226 5.028885782494023e-05 71 71 74 46
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.8337024672742299
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.7157076346846002
# TT-PIVMGS:    ortho 0 pivot 8 dot -0.00016040302824406327
# TT-PIVMGS:    ortho 0 pivot 7 dot 9.479731230822332e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot 5.814475632660854e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot -3.0771297436241185e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 2.5532268666807537e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -1.982655014778293e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 1.0220443712825834e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot -8.501538863836533e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -3.329221357111726e-06
# TT-PIVMGS:    ortho 0 pivot 2 dot 7.840769862808329e-07
# TT-PIVMGS:    ortho max err 1.9595436384634013e-14 , max. rank: 81
12 6.927151849309245e-05 3.3741220017708446e-05 80 80 81 51
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.8473981842752882
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.7156442761348156
# TT-PIVMGS:    ortho 0 pivot 9 dot -0.0001907166435904835
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.00011879534227019449
# TT-PIVMGS:    ortho 0 pivot 10 dot 6.906614317711904e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -6.604313447890761e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 5.878543981124862e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot -4.5018665648925704e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 4.443248138825354e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -1.7424334727794244e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot -1.6520212003056506e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 5.761563541742745e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -1.135764123535478e-06
# TT-PIVMGS:    ortho max err 3.104461132608094e-14 , max. rank: 87
13 4.4780115142039534e-05 2.226875648232492e-05 85 85 87 53
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.8472950683581673
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.6972332506272743
# TT-PIVMGS:    ortho 0 pivot 10 dot -0.0002126430510455985
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.00015241590537014467
# TT-PIVMGS:    ortho 0 pivot 8 dot -7.587698693643438e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot -7.469174349123385e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 7.261254715035075e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot 6.487099453149348e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -5.274005390613033e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 4.5959135835233617e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 3.9961653901073296e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -2.355228170027794e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot 7.405934520312955e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot 4.725241439008671e-06
# TT-PIVMGS:    ortho max err 7.53563877964325e-15 , max. rank: 94
14 2.8242680744778424e-05 1.397975225023163e-05 91 91 94 56
