PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.38567564698586065 0.385675646985862 4 4 2
2 0.20405650770303985 0.20405650770304115 6 6 4
3 0.125642557867835 0.12564255786783568 8 8 6
4 0.08316317902239687 0.0831631790223972 10 10 8
5 0.05666686735289382 0.05666686735289465 12 12 10
6 0.039380301559105345 0.03938030155910614 14 14 12
7 0.02819162013910569 0.028191620138773434 16 16 14
8 0.02065057173026701 0.02065057173023384 18 18 16
9 0.015392758390859775 0.015392758390728546 20 20 18
10 0.011667627488529946 0.011667627488441945 22 22 19
11 0.009016613058417786 0.009016613058393711 24 24 20
12 0.007089779487415107 0.007089779487326402 26 26 22
13 0.005648749875135142 0.005648749875076175 28 28 24
14 0.004544652475667036 0.004544652475641325 30 30 25
15 0.0036916963534236514 0.0036916963535294422 32 32 26
16 0.003029128737674535 0.003029128737971524 34 34 28
17 0.0025071818193627493 0.002507181820070543 36 36 30
18 0.0020878213039010854 0.0020878213121504428 36 38 31
19 0.0017451545948568797 0.0017451547493061753 39 38 32
20 0.0014641394370752108 0.001464139464056161 40 40 34
21 0.001231580801575113 0.0012315817562332937 41 42 36
22 0.0010375591914698775 0.001037558847963688 42 42 37
23 0.0008765124193257211 0.0008765122532558257 44 44 38
24 0.0007425913550484374 0.0007425911278943389 46 46 40
25 0.0006311220286018442 0.0006311221258507695 46 48 42
26 0.0005384784372306835 0.0005384783715219102 46 48 44
27 0.000461047905466936 0.000461048108699521 48 49 44
28 0.0003958516010804407 0.0003958514695603475 50 52 46
29 0.0003406946535310301 0.00034069520994742275 50 52 48
30 0.00029400021847710993 0.0002939996286400797 52 54 46
31 0.0002543825452439424 0.00025438244873702393 54 53 48
32 0.00022079109810593635 0.00022079136940805896 54 56 50
33 0.00019220842357852919 0.00019220847117861625 56 58 52
34 0.0001677740279686716 0.00016777424996211368 58 58 52
35 0.00014700176431259947 0.00014700218953589747 58 59 53
36 0.0001291215517256376 0.00012912095934546988 60 62 55
37 0.00011361567798474043 0.00011361573063669316 61 62 55
38 0.00010008685362192455 0.00010008654022012997 64 62 56
39 8.835174115187172e-05 8.835202801363541e-05 64 66 56
40 7.818928555779595e-05 7.818930145560143e-05 66 66 57
41 6.931587972740215e-05 6.931599695193028e-05 66 68 59
42 6.144663384087072e-05 6.14466731927174e-05 68 68 59
43 5.442289117369716e-05 5.442305422470379e-05 69 70 58
44 4.818582828557723e-05 4.8185752398958526e-05 70 71 61
45 4.269142717573257e-05 4.269102830816373e-05 72 71 61
46 3.785341232748986e-05 3.785399086481433e-05 73 72 62
47 3.35416861936558e-05 3.3541819631560833e-05 74 74 63
48 2.967092181602032e-05 2.967072228232225e-05 76 75 63
49 2.621948157985057e-05 2.6219356528724157e-05 76 76 65
50 2.3161676843397597e-05 2.3161986460178714e-05 77 77 65
51 2.0441642784906542e-05 2.0441394109534934e-05 78 78 64
52 1.801471989991582e-05 1.8015150852424837e-05 79 79 64
53 1.5868256689163758e-05 1.586863749864933e-05 80 81 66
54 1.3986017161003637e-05 1.3985900025205538e-05 82 82 66
55 1.2327960366176887e-05 1.2327906640238888e-05 82 84 66
56 1.0856840864045879e-05 1.085717245438381e-05 82 84 65
57 9.560413886462729e-06 9.559835713530247e-06 85 86 65
58 8.433810549277396e-06 8.433713798068487e-06 85 86 66
59 7.455408029961029e-06 7.456284352213817e-06 87 87 66
60 6.596497982538546e-06 6.596561793080343e-06 87 89 65
61 5.842381707537986e-06 5.841911658895077e-06 88 91 64
62 5.182317110537612e-06 5.182623004648169e-06 88 90 65
63 4.59841179001299e-06 4.598896561406268e-06 91 92 65
64 4.083450717742661e-06 4.083841739466994e-06 91 92 65
65 3.6349997134769694e-06 3.6354771654710793e-06 92 94 65
66 3.241946717291407e-06 3.2423692690565686e-06 93 95 65
67 2.894578103975253e-06 2.895263723141291e-06 94 96 65
68 2.5879180762686854e-06 2.588383541656516e-06 95 96 64
69 2.3133518005249544e-06 2.3134563576705214e-06 95 98 64
70 2.0681157162415026e-06 2.0683718698250777e-06 96 100 63
71 1.8521843871167557e-06 1.8534448805558136e-06 98 101 64
72 1.6590065478114203e-06 1.6599966092528165e-06 99 101 64
73 1.486874431012095e-06 1.487016244913899e-06 99 102 62
74 1.3313733772437718e-06 1.3326492185726444e-06 101 104 63
75 1.1913909878527383e-06 1.1924754223079473e-06 102 104 62
76 1.0656035549282882e-06 1.066721497286759e-06 102 105 63
77 9.533496820195431e-07 9.550197769248625e-07 102 107 61
78 8.531204809613694e-07 8.547558291585987e-07 105 108 61
79 7.62654194689395e-07 7.64060737596102e-07 105 108 60
80 6.806732733407023e-07 6.82217934849055e-07 106 110 60
81 6.066853989308016e-07 6.091314420246178e-07 107 111 59
82 5.401893301063276e-07 5.424269390675865e-07 109 112 59
83 4.805019176260708e-07 4.826208610889469e-07 110 113 58
84 4.2676846817255226e-07 4.2921262857766675e-07 112 113 58
85 3.782193747689675e-07 3.81110844585422e-07 109 114 56
86 3.346884592139806e-07 3.3776067207424496e-07 110 117 55
87 2.9603150638921185e-07 2.982820811533809e-07 111 118 54
88 2.6178071969575685e-07 2.6486211391041456e-07 111 118 53
89 2.3133895650654966e-07 2.3487127944128166e-07 115 120 53
90 2.0430567676522936e-07 2.0749797895594912e-07 111 121 53
# Checked resulting residual norm: 2.07501e-07

INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[1;34m[likwid-pin] Main PID -> hwthread 7 - OK[0m
