PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='right_precond')

###### right preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.0001633268175083094
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.00014125356505929887
# TT-PIVMGS:    ortho 0 pivot 3 dot -7.512163843608616e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 2.9224325480846705e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -1.5925423212107253e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 6.1999723867372375e-06
# TT-PIVMGS:    ortho max err 1.7985612998927536e-14 , max. rank: 77
11 0.0003175410777539963 0.00031754110400804194 72 68 77 54
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.8340763444533884
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.7059233061012622
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.0002864992117187354
# TT-PIVMGS:    ortho 0 pivot 6 dot -0.00022707245594788886
# TT-PIVMGS:    ortho 0 pivot 8 dot -0.0002162080181092839
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.0001754949729780575
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.00010231842212603606
# TT-PIVMGS:    ortho 0 pivot 3 dot -6.627642584765801e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 6.124564378406742e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -1.8477945774551807e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -2.3127594008642144e-06
# TT-PIVMGS:    ortho max err 1.6710746300434287e-07 , max. rank: 82
12 0.00021383086354176227 0.0002138308868263359 78 73 82 58
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.8309153587386724
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.7044511115939378
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.00032963754319516314
# TT-PIVMGS:    ortho 0 pivot 9 dot -0.0002744642342497154
# TT-PIVMGS:    ortho 0 pivot 7 dot -0.00021699120188211143
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.00020028559281086433
# TT-PIVMGS:    ortho 0 pivot 4 dot -8.075252716900367e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 6.15990486939888e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 4.1396905280306415e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 3.021435442330904e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -2.9489211691009938e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 1.8764060787556953e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 9.012342400950557e-06
# TT-PIVMGS:    ortho max err 1.3530787601467864e-11 , max. rank: 88
13 0.0001471417682489636 0.00014714173519517814 86 78 88 65
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.8270471334856955
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.7042578204765642
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.0003636600892113588
# TT-PIVMGS:    ortho 0 pivot 10 dot -0.00032791886038675746
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.00022556568793681564
# TT-PIVMGS:    ortho 0 pivot 8 dot -0.0001911266008338408
# TT-PIVMGS:    ortho 0 pivot 3 dot 8.827581969899322e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 8.540256721651339e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -6.339948980909195e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -6.146218303632522e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot -3.437199927188925e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 2.1981555812070324e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot -1.766404927840831e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 3.6304943465109013e-06
