PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.2653511077540563 0.26535110775405657 4 4 2
2 0.10059150548349174 0.10059150548349222 6 6 4
3 0.046858157019945154 0.04685815701994529 8 8 6
4 0.02504287236257756 0.02504287236257767 10 10 8
5 0.014685592307104063 0.014685592307104174 12 12 10
6 0.009160035974886535 0.009160035974886394 14 14 12
7 0.005970106758991883 0.005970106758942475 16 16 14
8 0.004031137717759159 0.00403113771780352 18 18 16
9 0.002792776920076781 0.0027927769200856117 20 20 16
10 0.0019759502567908084 0.0019759502568890783 22 22 18
11 0.0014262842302359083 0.0014262842304577916 24 24 20
12 0.0010504172799462546 0.0010504172802205075 26 26 22
13 0.000787817735862238 0.0007878177406542927 28 28 22
14 0.0005996672743487086 0.0005996672686641698 30 30 24
15 0.0004627038955506412 0.0004627039136257957 32 32 26
16 0.00036194623589212266 0.00036194625120234146 34 34 28
17 0.00028634404468356556 0.0002863447965666364 36 36 28
18 0.00022871498337128862 0.00022871439246922883 38 38 30
19 0.0001841041146873698 0.00018410436238660877 40 40 32
20 0.00014918766229220814 0.00014918753389614304 40 42 33
21 0.00012163880068396961 0.00012163876498161964 43 43 34
22 9.969879336325575e-05 9.969878318059925e-05 44 45 36
23 8.201298299805627e-05 8.201301801613202e-05 44 46 38
24 6.76122425709118e-05 6.761223829397256e-05 46 47 38
25 5.583897766129788e-05 5.583925164643552e-05 48 48 40
26 4.6184135470297974e-05 4.6183710421420416e-05 50 50 42
27 3.824902691839709e-05 3.824899970860992e-05 52 52 44
28 3.170821847654251e-05 3.17082785645102e-05 52 52 44
29 2.6326046959301948e-05 2.6326052581302503e-05 54 54 46
30 2.1917003329363556e-05 2.1917038197926048e-05 56 56 47
31 1.8311749543370992e-05 1.8311961194400675e-05 56 58 48
32 1.5362665308436072e-05 1.536227114173071e-05 58 58 48
33 1.2947822874613924e-05 1.2947886175314712e-05 60 60 48
34 1.0960817316824597e-05 1.0960818991787945e-05 62 62 50
35 9.318553409086106e-06 9.318592609284513e-06 64 64 49
36 7.953740239338611e-06 7.953769691990668e-06 64 66 51
37 6.810126695238848e-06 6.810236573836491e-06 65 66 50
38 5.845432844378637e-06 5.845186292553565e-06 67 67 50
39 5.026182817271651e-06 5.026251791303919e-06 68 69 51
40 4.328999811399952e-06 4.329043620358794e-06 68 69 51
41 3.7346402036388344e-06 3.7346678832040304e-06 70 72 52
42 3.2268043037734662e-06 3.226827605561643e-06 72 74 53
43 2.7917363149194476e-06 2.7917626394795644e-06 72 74 54
44 2.418358743302244e-06 2.4182433719440876e-06 74 75 53
45 2.097710527075325e-06 2.09785069998933e-06 76 76 53
46 1.8223011317519892e-06 1.8223706672571705e-06 78 78 53
47 1.585430747814095e-06 1.5854924919807503e-06 78 80 54
48 1.3811046161008954e-06 1.3810760869927329e-06 79 82 53
49 1.2043613699728243e-06 1.2045468327712528e-06 80 82 53
50 1.0514440550518639e-06 1.05132621019407e-06 81 83 53
51 9.190718888055311e-07 9.192530156291361e-07 84 84 52
52 8.040564887839176e-07 8.044264384418403e-07 84 86 54
53 7.037476914618137e-07 7.036968366823494e-07 86 86 55
54 6.162034306799731e-07 6.162400026939777e-07 88 88 55
55 5.399049195590198e-07 5.402945292900042e-07 88 88 54
56 4.734545319120629e-07 4.7356634648426007e-07 89 90 54
57 4.1543486839032595e-07 4.156096672099066e-07 92 92 53
58 3.644296455928611e-07 3.6463482550674787e-07 92 94 52
59 3.191623986984322e-07 3.1905961628522954e-07 92 96 51
60 2.7879807888577475e-07 2.787424294989246e-07 94 96 50
61 2.428484390949582e-07 2.4314024707169916e-07 97 97 49
62 2.1094289245526953e-07 2.1086410641432033e-07 98 98 47
63 1.8267817336262815e-07 1.823585634728467e-07 100 100 46
64 1.576808397307218e-07 1.5727398488265161e-07 100 101 45
65 1.356493688788831e-07 1.358105040840066e-07 101 103 44
66 1.1634353425797125e-07 1.1606688805315842e-07 102 104 44
67 9.95441844783367e-08 9.904118647005903e-08 104 106 42
68 8.499159737691464e-08 8.507528603676601e-08 106 106 43
69 7.242357791720621e-08 7.342000181618629e-08 106 108 43
70 6.15874966573626e-08 6.284441208393059e-08 108 110 44
71 5.225211185553151e-08 5.3549004860053074e-08 110 110 42
72 4.420000441656137e-08 4.60555770356106e-08 112 111 42
73 3.72290907813782e-08 3.972887110661281e-08 112 114 42
74 3.1171612098997424e-08 3.3994783740041524e-08 114 115 41
75 2.592126058740461e-08 2.957377145436209e-08 115 116 41
76 2.1405954656143877e-08 2.5646153794153735e-08 117 118 40
77 1.754594163806204e-08 2.2731644379119467e-08 118 120 38
78 1.4268720784355438e-08 1.9985369681029662e-08 121 120 35
79 1.1519113681187926e-08 1.7847793226597734e-08 121 122 32
80 9.238876892587864e-09 1.652945636955994e-08 123 122 31
# Checked resulting residual norm: 1.65675e-08

INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[1;34m[likwid-pin] Main PID -> hwthread 60 - OK[0m
